Wavelength	Transit Depth
(meters)	(percent)
3.227467e-07	1.137661e-02
3.230690e-07	1.137312e-02
3.233916e-07	1.136964e-02
3.237145e-07	1.136616e-02
3.240377e-07	1.136267e-02
3.243613e-07	1.135919e-02
3.246852e-07	1.135571e-02
3.250094e-07	1.135223e-02
3.253339e-07	1.134875e-02
3.256588e-07	1.134527e-02
3.259840e-07	1.134179e-02
3.263095e-07	1.133831e-02
3.266353e-07	1.133483e-02
3.269615e-07	1.133135e-02
3.272879e-07	1.132787e-02
3.276147e-07	1.132440e-02
3.279419e-07	1.132092e-02
3.282693e-07	1.131744e-02
3.285971e-07	1.131397e-02
3.289253e-07	1.131049e-02
3.292537e-07	1.130702e-02
3.295825e-07	1.130354e-02
3.299116e-07	1.130007e-02
3.302410e-07	1.129660e-02
3.305708e-07	1.129312e-02
3.309008e-07	1.128965e-02
3.312313e-07	1.128618e-02
3.315620e-07	1.128271e-02
3.318931e-07	1.127924e-02
3.322245e-07	1.127577e-02
3.325562e-07	1.127230e-02
3.328883e-07	1.126883e-02
3.332207e-07	1.126537e-02
3.335534e-07	1.126190e-02
3.338865e-07	1.125843e-02
3.342199e-07	1.125496e-02
3.345536e-07	1.125150e-02
3.348877e-07	1.124803e-02
3.352221e-07	1.124457e-02
3.355568e-07	1.124110e-02
3.358919e-07	1.123764e-02
3.362273e-07	1.123418e-02
3.365630e-07	1.123071e-02
3.368991e-07	1.122725e-02
3.372355e-07	1.122379e-02
3.375722e-07	1.122033e-02
3.379093e-07	1.121687e-02
3.382467e-07	1.121341e-02
3.385845e-07	1.120995e-02
3.389226e-07	1.120649e-02
3.392610e-07	1.120303e-02
3.395998e-07	1.119957e-02
3.399389e-07	1.119611e-02
3.402783e-07	1.119266e-02
3.406181e-07	1.118920e-02
3.409582e-07	1.118574e-02
3.412987e-07	1.118229e-02
3.416395e-07	1.117883e-02
3.419806e-07	1.117538e-02
3.423221e-07	1.117192e-02
3.426639e-07	1.116847e-02
3.430061e-07	1.116502e-02
3.433486e-07	1.116157e-02
3.436914e-07	1.115811e-02
3.440346e-07	1.115466e-02
3.443781e-07	1.115121e-02
3.447220e-07	1.114776e-02
3.450662e-07	1.114431e-02
3.454108e-07	1.114086e-02
3.457557e-07	1.113742e-02
3.461010e-07	1.113397e-02
3.464466e-07	1.113052e-02
3.467925e-07	1.112707e-02
3.471388e-07	1.112363e-02
3.474854e-07	1.112018e-02
3.478324e-07	1.111673e-02
3.481797e-07	1.111329e-02
3.485274e-07	1.110984e-02
3.488754e-07	1.110640e-02
3.492238e-07	1.110296e-02
3.495725e-07	1.109951e-02
3.499215e-07	1.109607e-02
3.502709e-07	1.109274e-02
3.506207e-07	1.108930e-02
3.509708e-07	1.108585e-02
3.513213e-07	1.108241e-02
3.516721e-07	1.107896e-02
3.520232e-07	1.107552e-02
3.523747e-07	1.107208e-02
3.527266e-07	1.106864e-02
3.530788e-07	1.106520e-02
3.534314e-07	1.106176e-02
3.537843e-07	1.105832e-02
3.541376e-07	1.105488e-02
3.544912e-07	1.105145e-02
3.548451e-07	1.104801e-02
3.551995e-07	1.104457e-02
3.555542e-07	1.104114e-02
3.559092e-07	1.103772e-02
3.562646e-07	1.103427e-02
3.566203e-07	1.103083e-02
3.569764e-07	1.102740e-02
3.573329e-07	1.102397e-02
3.576897e-07	1.102054e-02
3.580468e-07	1.101710e-02
3.584044e-07	1.101367e-02
3.587622e-07	1.101024e-02
3.591205e-07	1.100681e-02
3.594791e-07	1.100338e-02
3.598380e-07	1.099996e-02
3.601973e-07	1.099654e-02
3.605570e-07	1.099322e-02
3.609170e-07	1.098968e-02
3.612774e-07	1.098625e-02
3.616382e-07	1.098282e-02
3.619993e-07	1.097940e-02
3.623608e-07	1.097599e-02
3.627226e-07	1.097255e-02
3.630848e-07	1.096912e-02
